"Taxonomy","Metabolic category","Feeding Type","Environment","Feeding Mode","Trophic Level","BodyWeight","Mobility"
"Detritus","Primary Producer","Primary Producer","benthopelagic","Primary Producer",1,5.00E-004,1
"Benthic algae","Primary Producer","Primary Producer","benthic","Primary Producer",1,1.00E-010,1
"Symbiotic algae","Primary Producer","Primary Producer","benthic","Primary Producer",1,3.00E-010,1
"Phytoplankton","Primary Producer","Primary Producer","pelagic","Primary Producer",1,5.00E-010,1
"Zooplankton","Invertebrate","omnivorous","pelagic","predator",2.5,1.00E-008,4
"Microfauna","Invertebrate","herbivorous/detrivorous","benthic","suspension-feeder",2,3.37E-001,4
"Sponges","Invertebrate","herbivorous/detrivorous","benthic","suspension-feeder",2,1.84E+002,1
"Hydrozoans","Invertebrate","herbivorous/detrivorous","benthic","suspension-feeder",2.63,9.83E+000,1
"Sea Fan","Invertebrate","omnivorous","benthic","predator",2.63,2.25E+001,1
"Sea anemones","Invertebrate","herbivorous/detrivorous","benthic","suspension-feeder",2.83,1.84E+001,1
"Stony corals","Invertebrate","herbivorous/detrivorous","benthic","suspension-feeder",2.63,3.65E+001,1
"Bryozoans","Invertebrate","herbivorous/detrivorous","benthic","grazer",2.98,1.23E+001,1
"Sipunculid worms","Invertebrate","herbivorous/detrivorous","benthic","grazer",2.33,1.24E+001,2
"Priapuloids","Invertebrate","omnivorous","benthic","predator",4.38,4.27E+000,2
"Chitons","Invertebrate","omnivorous","benthic","predator",3.24,6.30E+000,2
"Gastropoda","Invertebrate","herbivorous/detrivorous","benthic","suspension-feeder",3.72,9.09E+000,2
"Bivalvia","Invertebrate","herbivorous/detrivorous","benthic","suspension-feeder",2.33,6.90E+000,2
"Scaphopoda","Invertebrate","carnivorous","benthopelagic","predator",3,4.30E+000,2
"Squids","Invertebrate","carnivorous","benthic","predator",4.66,4.50E+002,4
"Octopuses","Invertebrate","omnivorous","benthic","predator",4.39,2.80E+003,4
"Polychaetes","Invertebrate","detrivorous","benthic","grazer",3.38,6.00E-003,3
"Echiuroids","Invertebrate","carnivorous","benthic","predator",2.33,1.22E+001,2
"Pycnogonids","Invertebrate","herbivorous/detrivorous","benthic","suspension-feeder",3.37,5.00E+000,3
"Barnacles","Invertebrate","herbivorous/detrivorous","benthic","suspension-feeder",2.83,1.00E+001,1
"Stomatopods","Invertebrate","omnivorous","benthic","predator/scavenger",4.05,4.00E+000,2
"Amphipoda","Invertebrate","omnivorous","benthic","predator",2.63,5.00E-003,3
"Tanaids","Invertebrate","omnivorous","benthic","predator/scavenger",2.5,2.00E-001,3
"Isopoda","Invertebrate","omnivorous","benthic","predator",2,1.40E-001,3
"Shrimps","Invertebrate","omnivorous","benthic","predator",3.83,1.20E+001,3
"Spiny Lobsters","Invertebrate","omnivorous","benthic","predator",3.35,5.87E+001,2
"Scyllarid Lobsters","Invertebrate","omnivorous","benthic","predator",3.24,6.38E+001,2
"Hermit crabs","Invertebrate","omnivorous","benthic","predator/scavenger",2.77,5.00E+000,2
"Crabs","Invertebrate","omnivorous","benthic","predator",3.45,5.82E+001,3
"Hemichordates","Invertebrate","omnivorous","benthic","predator/scavenger",2.33,3.90E+001,2
"Asteroids","Invertebrate","omnivorous","benthic","predator",3.63,2.40E+002,2
"Ophiuroids","Invertebrate","omnivorous","benthic","grazer",2.63,2.30E+001,2
"Echinoids","Invertebrate","herbivorous/detrivorous","benthic","suspension-feeder",3.51,5.70E+001,2
"Holothurians","Invertebrate","herbivorous/detrivorous","benthic","suspension-feeder",2.33,4.00E+001,2
"Tunicates","Invertebrate","herbivorous/detrivorous","benthic","suspension-feeder",2.63,9.00E+001,2
