Taxonomy,"Metabolic category",FeedingType,Environment,FeedinMode,TL,"Body Size (weight)",Mobility
"benthic bacteria","primary producer",detrivorous,benthic,grazer,1,9.5e-06,4
microfauna,invertebrate,omnivorous,benthic,grazer,2,1e-05,4
meiofauna,invertebrate,omnivorous,benthic,grazer,2.25,8e-05,4
bacterioplankton,"primary producer",omnivorous,pelagic,grazer,2,5e-06,4
microprotozoa,invertebrate,omnivorous,pelagic,grazer,2.33,4e-06,1
"Acunmindeutopus naglei",invertebrate,herbivorous,benthic,grazer,2,0.00316,3
"Amphithoe longimana",invertebrate,herbivorous,benthic,grazer,2,0.00617,3
"Caprella penantis",invertebrate,herbivorous,benthic,grazer,2,0.00876,3
"Cymadusa compta",invertebrate,herbivorous,benthic,grazer,2,0.0118,3
"Lembos rectanularis",invertebrate,herbivorous,benthic,grazer,2,0.00505,3
"Batea catharinensis",invertebrate,herbivorous,benthic,grazer,2,0.00876,3
"Elasmopus levis",invertebrate,herbivorous,benthic,grazer,2,0.00405,3
Melita,invertebrate,herbivorous,benthic,grazer,2,0.00144,3
Synchelidium,invertebrate,herbivorous,benthic,grazer,2,0.00876,3
"Listriella barnardi",invertebrate,herbivorous,benthic,grazer,2,0.000944,3
"Lysianopsis alba",invertebrate,herbivorous,benthic,grazer,2,0.00218,3
"Brachiodontes exustus",invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2.78,0.124,2
"Chione cancellata",invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2.78,0.0216,2
"Argopecten irradians",invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2.78,0.119,2
"Crepidula fornicata",invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2.78,0.0507,2
"Crepidula convexa",invertebrate,herbivorous/detrivorous,benthic,suspension-feeder,2.78,0.0701,2
"Pagurus mclaughlini",invertebrate,detrivorous,benthic,grazer,2.31,0.00377,3
"Libinia dubia",invertebrate,detrivorous,benthic,grazer,2,6.38,3
