Taxonomy,MetabolicCategory,FeedingType,Environment,FeedingMode,TrophicLevel,BodyWeight,Mobility
"Actinocyclus actinochilus","Primary producer",None,pelagic,None,1,4.06e-11,1
"Actinocyclus spiritus","Primary producer",None,pelagic,None,1,1.64e-11,1
"Actinocyclus utricularis","Primary producer",None,pelagic,None,1,4.01e-12,1
"Azpeitia tabularis","Primary producer",None,pelagic,None,1,1.14e-11,1
"Banquisia belgicae","Primary producer",None,pelagic,None,1,4.01e-12,1
"Chaetoceros bulbosum","Primary producer",None,pelagic,None,1,6.04e-13,1
"Chaetoceros concavicornis","Primary producer",None,pelagic,None,1,4.01e-12,1
"Chaetoceros criophilum","Primary producer",None,pelagic,None,1,4.01e-12,1
"Chaetoceros dichaeta","Primary producer",None,pelagic,None,1,6.04e-13,1
"Chaetoceros flexuosum","Primary producer",None,pelagic,None,1,1.67e-12,1
"Chaetoceros neglectum","Primary producer",None,pelagic,None,1,9.11e-14,1
"Chaetoceros pelagicus","Primary producer",None,pelagic,None,1,6.04e-13,1
"Chaetoceros socialis","Primary producer",None,pelagic,None,1,1.71e-13,1
"Corethron criophilum","Primary producer",None,pelagic,None,1,4.01e-12,1
"Coscinodiscus oculoides","Primary producer",None,pelagic,None,1,1.59e-09,1
"Cylindrotheca closterium","Primary producer",None,pelagic,None,1,4.89e-11,1
"Eucampia antarctica","Primary producer",None,pelagic,None,1,7.29e-12,1
"Fragilariopsis curta","Primary producer",None,pelagic,None,1,9.11e-14,1
"Fragilariopsis cylindrus","Primary producer",None,pelagic,None,1,1.53e-14,1
"Fragilariopsis kerguelensis","Primary producer",None,pelagic,None,1,3.29e-13,1
"Fragilariopsis linearis","Primary producer",None,pelagic,None,1,4.53e-13,1
"Fragilariopsis nana","Primary producer",None,pelagic,None,1,4.53e-13,1
"Fragilariopsis obliquecostata","Primary producer",None,pelagic,None,1,4.53e-13,1
"Fragilariopsis pseudonana","Primary producer",None,pelagic,None,1,9.11e-14,1
"Fragilariopsis rhombica","Primary producer",None,pelagic,None,1,4.53e-13,1
"Fragilariopsis ritscheri","Primary producer",None,pelagic,None,1,4.53e-13,1
"Fragilariopsis separanda","Primary producer",None,pelagic,None,1,6.04e-13,1
"Fragilariopsis sublinearis","Primary producer",None,pelagic,None,1,1.5e-13,1
"Fragilariopsis vanheurckii","Primary producer",None,pelagic,None,1,9.11e-14,1
