Lutra 621916 Animalia Chordata Mammalia Carnivora Mustelidae Lutra
Phalacrocorax 174715 Animalia Chordata Aves Ciconiiformes Phalacrocoracidae Phalacrocorax
Ardea 174781 Animalia Chordata Aves Ciconiiformes Ardeidae Ardea
Cygnus 174985 Animalia Chordata Aves Anseriformes Anatidae Cygnus
Tadorna 175055 Animalia Chordata Aves Anseriformes Anatidae Tadorna
Anas 175092 Animalia Chordata Aves Anseriformes Anatidae Anas
Somateria 175155 Animalia Chordata Aves Anseriformes Anatidae Somateria
Somateria 175155 Animalia Chordata Aves Anseriformes Anatidae Somateria
Haematopus 176469 Animalia Chordata Aves Ciconiiformes Charadriidae Haematopus
Charadris error NA NA NA NA NA NA
Pluvialis 176561 Animalia Chordata Aves Ciconiiformes Charadriidae Pluvialis
Pluvialis 176567 Animalia Chordata Aves Ciconiiformes Charadriidae Pluvialis
Vanellus 176481 Animalia Chordata Aves Ciconiiformes Charadriidae Vanellus
Calidris 176661 Animalia Chordata Aves Ciconiiformes Scolopacidae Calidris
Limos error NA NA NA NA NA NA
Numenius 176596 Animalia Chordata Aves Ciconiiformes Scolopacidae Numenius
Tringa 176622 Animalia Chordata Aves Ciconiiformes Scolopacidae Tringa
Arenaria 176571 Animalia Chordata Aves Ciconiiformes Scolopacidae Arenaria
Larus 176832 Animalia Chordata Aves Ciconiiformes Laridae Larus
Larus 176835 Animalia Chordata Aves Ciconiiformes Laridae Larus
Larus 176803 Animalia Chordata Aves Ciconiiformes Laridae Larus
Larus 176815 Animalia Chordata Aves Ciconiiformes Laridae Larus
Sterna 176927 Animalia Chordata Aves Ciconiiformes Laridae Sterna
Sterna 176888 Animalia Chordata Aves Ciconiiformes Laridae Sterna
Sterna 176885 Animalia Chordata Aves Ciconiiformes Laridae Sterna
Corvus 179738 Animalia Chordata Aves Passeriformes Corvidae Corvus
Corvus 559494 Animalia Chordata Aves Passeriformes Corvidae Corvus
Sprattus 161789 Animalia Chordata Actinopterygii Clupeiformes Clupeidae Sprattus
Clupea 161722 Animalia Chordata Actinopterygii Clupeiformes Clupeidae Clupea
Anguilla 161128 Animalia Chordata Actinopterygii Anguilliformes Anguillidae Anguilla
Sygnathus error NA NA NA NA NA NA
Pollachus error NA NA NA NA NA NA
Ciliata 623023 Animalia Chordata Actinopterygii Gadiformes Gadidae Ciliata
