"Taxonomy","MetabolicCathegory","FeedingType","Environment","ForagingMode","TL","BodyWeight","Mobility"
"Lutra lutra","endotherm vertebrate","carnivorous","land-based","predator",4.3,1.20E+004,4
"Phalacrocorax carbo","endotherm vertebrate","carnivorous","land-based","predator",4.28,2.25E+003,4
"Ardea cinerea","endotherm vertebrate","carnivorous","land-based","predator",4.26,1.10E+003,4
"Cygnus olor","endotherm vertebrate","herbivorous/detrivorous","land-based","grazer",2,1.03E+004,4
"Tadorna tadorna","endotherm vertebrate","carnivorous","land-based","predator",3.04,1.11E+003,4
"Anas penelope","endotherm vertebrate","herbivorous/detrivorous","land-based","predator",2,7.10E+002,4
"Somateria mollissima","endotherm vertebrate","carnivorous","land-based","predator",3.51,2.15E+003,4
"Somateria mollissima","endotherm vertebrate","omnivorous","land-based","predator",3.2,7.00E+002,4
"Haematopus ostralegus","endotherm vertebrate","omnivorous","land-based","predator",3.08,5.40E+002,4
"Charadris hiaticula","endotherm vertebrate","carnivorous","land-based","predator",3.38,6.30E+001,4
"Pluvialis apricaria","endotherm vertebrate","carnivorous","land-based","predator",3.1,1.80E+002,4
"Pluvialis squatarola","endotherm vertebrate","carnivorous","land-based","predator",3.25,2.27E+002,4
"Vanellus vanellus","endotherm vertebrate","carnivorous","land-based","predator",3.17,2.43E+002,4
"Calidris alpina","endotherm vertebrate","carnivorous","land-based","predator",3.25,4.80E+001,4
"Limos lapponica","endotherm vertebrate","carnivorous","land-based","predator",3.5,3.01E+002,4
"Numenius arquata","endotherm vertebrate","carnivorous","land-based","predator",3.36,7.25E+002,4
"Tringa totanus","endotherm vertebrate","carnivorous","land-based","predator",3.21,1.17E+002,4
"Arenaria interpres","endotherm vertebrate","carnivorous","land-based","predator",3,1.10E+002,4
"Larus canus","endotherm vertebrate","carnivorous","land-based","predator",3.64,3.86E+002,4
"Larus ridibundus","endotherm vertebrate","carnivorous","land-based","predator",3.72,1.80E+002,4
"Larus aragentatus","endotherm vertebrate","carnivorous","land-based","predator",3.78,8.85E+002,4
