"NumTraits" "Overlap"
"BM" 1 0.0861725348770997
"HB" 1 0.0611983554626946
"FT" 1 0.0654084425875234
"FM" 1 0.0678168645903354
"MC" 1 0.0781882373202445
"MB" 1 0.064484056530076
"BM+HB" 2 0.087984496124031
"BM+FT" 2 0.0893085472607456
"BM+FM" 2 0.0934348631405639
"BM+MC" 2 0.0889062958973857
"BM+MB" 2 0.0933100400781009
"HB+FT" 2 0.0676753372587016
"HB+FM" 2 0.0701050030883261
"HB+MC" 2 0.0796700886198122
"HB+MB" 2 0.0690284324159951
"FT+FM" 2 0.0682912154031288
"FT+MC" 2 0.0802474591250552
"FT+MB" 2 0.0696853415195702
"FM+MC" 2 0.083732939874585
"FM+MB" 2 0.0708599968784142
"MC+MB" 2 0.0843160924876962
"BM+HB+FT" 3 0.0902225755166932
"BM+HB+FM" 3 0.0944161380888011
"BM+HB+MC" 3 0.0897943037974684
"BM+HB+MB" 3 0.0945734819289657
"BM+FT+FM" 3 0.0939277955932554
"BM+FT+MC" 3 0.0904562661884838
"BM+FT+MB" 3 0.0941420425090721
"BM+FM+MC" 3 0.0947412353923205
"BM+FM+MB" 3 0.0964111276279465
"BM+MC+MB" 3 0.0950387272346661
"HB+FT+FM" 3 0.0705461891072955
"HB+FT+MC" 3 0.081581311769991
"HB+FT+MB" 3 0.0711710299419972
"HB+FM+MC" 3 0.085042614966751
"HB+FM+MB" 3 0.0724371759074591
"HB+MC+MB" 3 0.0854668674698795
"FT+FM+MC" 3 0.0840585076837623
"FT+FM+MB" 3 0.0710596337455001
"FT+MC+MB" 3 0.0845358905129876
"FM+MC+MB" 3 0.086361042419631
"BM+HB+FT+FM" 4 0.0949195065858248
"BM+HB+FT+MC" 4 0.0913756667002113
"BM+HB+FT+MB" 4 0.0950188363331938
"BM+HB+FM+MC" 4 0.0957502899926184
"BM+HB+FM+MB" 4 0.09733090363383
"BM+HB+MC+MB" 4 0.095932382461701
"BM+FT+FM+MC" 4 0.0950486758086465
"BM+FT+FM+MB" 4 0.0966060219172252
"BM+FT+MC+MB" 4 0.0952680726051831
"BM+FM+MC+MB" 4 0.0976449080546295
"HB+FT+FM+MC" 4 0.0853784673248707
"HB+FT+FM+MB" 4 0.072593540134314
"HB+FT+MC+MB" 4 0.0856927142317856
"HB+FM+MC+MB" 4 0.0875687144372649
"FT+FM+MC+MB" 4 0.0865173892329681
"BM+HB+FT+FM+MC" 5 0.0960643250105798
"BM+HB+FT+FM+MB" 5 0.0975295381310419
"BM+HB+FT+MC+MB" 5 0.0961660665113323
"BM+HB+FM+MC+MB" 5 0.0985884907709012
"BM+FT+FM+MC+MB" 5 0.0977921378567582
"HB+FT+FM+MC+MB" 5 0.0877294685990338
"aa" 6 0.0987385819921705
