"NumTraits" "Overlap"
"BM" 1 0.0495131754156639
"HB" 1 0.0434125964010283
"FT" 1 0.0420850423134832
"FM" 1 0.0436031500129099
"MC" 1 0.0465172330682092
"MB" 1 0.0470857488063013
"BM+HB" 2 0.0503409471997615
"BM+FT" 2 0.049866505899578
"BM+FM" 2 0.0514150883558081
"BM+MC" 2 0.0525885558583106
"BM+MB" 2 0.0536764316363829
"HB+FT" 2 0.0434726646716221
"HB+FM" 2 0.0452025919275509
"HB+MC" 2 0.0465995975855131
"HB+MB" 2 0.0475810333290288
"FT+FM" 2 0.0439021219900562
"FT+MC" 2 0.0465589137402213
"FT+MB" 2 0.0471153063715518
"FM+MC" 2 0.0482241656255577
"FM+MB" 2 0.0474495709285037
"MC+MB" 2 0.0492036128781625
"BM+HB+FT" 3 0.050380369928401
"BM+HB+FM" 3 0.0519602061485603
"BM+HB+MC" 3 0.0526267951281585
"BM+HB+MB" 3 0.0539551106259485
"BM+FT+FM" 3 0.0515563583631206
"BM+FT+MC" 3 0.0526110829860976
"BM+FT+MB" 3 0.0536878079796535
"BM+FM+MC" 3 0.0540392794762736
"BM+FM+MB" 3 0.0540407205429406
"BM+MC+MB" 3 0.0549134905903234
"HB+FT+FM" 3 0.0452490203302408
"HB+FT+MC" 3 0.0466205024385755
"HB+FT+MB" 3 0.047589972406505
"HB+FM+MC" 3 0.0482994494363277
"HB+FM+MB" 3 0.0478936484490399
"HB+MC+MB" 3 0.0492855839970815
"FT+FM+MC" 3 0.0482557447315157
"FT+FM+MB" 3 0.0474712455199232
"FT+MC+MB" 3 0.0492317036137261
"FM+MC+MB" 3 0.0494757016076856
"BM+HB+FT+FM" 4 0.0519828647650318
"BM+HB+FT+MC" 4 0.0526411491953814
"BM+HB+FT+MB" 4 0.0539601389942885
"BM+HB+FM+MC" 4 0.0540673941463675
"BM+HB+FM+MB" 4 0.054267925286202
"BM+HB+MC+MB" 4 0.0549425225029823
"BM+FT+FM+MC" 4 0.0540508101620324
"BM+FT+FM+MB" 4 0.0540457648815874
"BM+FT+MC+MB" 4 0.0549216759715974
"BM+FM+MC+MB" 4 0.0551991828396323
"HB+FT+FM+MC" 4 0.0483144192256342
"HB+FT+FM+MB" 4 0.0478987425545996
"HB+FT+MC+MB" 4 0.0492951750811856
"HB+FM+MC+MB" 4 0.0495513118321637
"FT+FM+MC+MB" 4 0.0494980581812853
"BM+HB+FT+FM+MC" 5 0.0540753292150872
"BM+HB+FT+FM+MB" 5 0.0542701052462441
"BM+HB+FT+MC+MB" 5 0.054947736608777
"BM+HB+FM+MC+MB" 5 0.0552240026160889
"BM+FT+FM+MC+MB" 5 0.0552044457762402
"HB+FT+FM+MC+MB" 5 0.0495567646879012
"aa" 6 0.0552262600662225
