"NumTraits" "Overlap"
"BM" 1 0.182692307692308
"HB" 1 0.127895466244308
"FT" 1 0.125048393341076
"FM" 1 0.141263940520446
"MC" 1 0.150758459743291
"MB" 1 0.175973849087442
"BM+HB" 2 0.186705202312139
"BM+FT" 2 0.190167795113335
"BM+FM" 2 0.22997508009968
"BM+MC" 2 0.197251908396947
"BM+MB" 2 0.253731343283582
"HB+FT" 2 0.132757912042746
"HB+FM" 2 0.151146467009827
"HB+MC" 2 0.150758459743291
"HB+MB" 2 0.182847438437588
"FT+FM" 2 0.143046944198406
"FT+MC" 2 0.150758459743291
"FT+MB" 2 0.178749308245711
"FM+MC" 2 0.176406335335882
"FM+MB" 2 0.178256070640177
"MC+MB" 2 0.208858713223408
"BM+HB+FT" 3 0.192033293697979
"BM+HB+FM" 3 0.232708933717579
"BM+HB+MC" 3 0.197251908396947
"BM+HB+MB" 3 0.257063270990848
"BM+FT+FM" 3 0.231873653984207
"BM+FT+MC" 3 0.197251908396947
"BM+FT+MB" 3 0.256044391597305
"BM+FM+MC" 3 0.241405082212257
"BM+FM+MB" 3 0.258503401360544
"BM+MC+MB" 3 0.267716535433071
"HB+FT+FM" 3 0.153044302298034
"HB+FT+MC" 3 0.150758459743291
"HB+FT+MB" 3 0.185632183908046
"HB+FM+MC" 3 0.176406335335882
"HB+FM+MB" 3 0.185312679288583
"HB+MC+MB" 3 0.208858713223408
"FT+FM+MC" 3 0.176406335335882
"FT+FM+MB" 3 0.181104569666386
"FT+MC+MB" 3 0.208858713223408
"FM+MC+MB" 3 0.212081418253447
"BM+HB+FT+FM" 4 0.234567901234568
"BM+HB+FT+MC" 4 0.197251908396947
"BM+HB+FT+MB" 4 0.259333600963468
"BM+HB+FM+MC" 4 0.241405082212257
"BM+HB+FM+MB" 4 0.261962692619627
"BM+HB+MC+MB" 4 0.267716535433071
"BM+FT+FM+MC" 4 0.241405082212257
"BM+FT+FM+MB" 4 0.260904684975767
"BM+FT+MC+MB" 4 0.267716535433071
"BM+FM+MC+MB" 4 0.273034657650042
"HB+FT+FM+MC" 4 0.176406335335882
"HB+FT+FM+MB" 4 0.188173609088261
"HB+FT+MC+MB" 4 0.208858713223408
"HB+FM+MC+MB" 4 0.212081418253447
"FT+FM+MC+MB" 4 0.212081418253447
"BM+HB+FT+FM+MC" 5 0.241405082212257
"BM+HB+FT+FM+MB" 5 0.264320785597381
"BM+HB+FT+MC+MB" 5 0.267716535433071
"BM+HB+FM+MC+MB" 5 0.273034657650042
"BM+FT+FM+MC+MB" 5 0.273034657650042
"HB+FT+FM+MC+MB" 5 0.212081418253447
"aa" 6 0.273034657650042
