"NumTraits" "Overlap"
"BM" 1 0.162025438427443
"HB" 1 0.129409199353531
"FT" 1 0.123274113535837
"FM" 1 0.124788185382627
"MC" 1 0.132760481090612
"MB" 1 0.12598179388884
"BM+HB" 2 0.162273012400881
"BM+FT" 2 0.162252134896512
"BM+FM" 2 0.163575342909952
"BM+MC" 2 0.162338289245028
"BM+MB" 2 0.165244451723856
"HB+FT" 2 0.129732023454377
"HB+FM" 2 0.130700072546378
"HB+MC" 2 0.13730079884596
"HB+MB" 2 0.132372042982537
"FT+FM" 2 0.125730593322782
"FT+MC" 2 0.133145933961517
"FT+MB" 2 0.127201664250142
"FM+MC" 2 0.135350147571774
"FM+MB" 2 0.126928012480185
"MC+MB" 2 0.137091842974196
"BM+HB+FT" 3 0.162416690814257
"BM+HB+FM" 3 0.163742595147286
"BM+HB+MC" 3 0.162411461687057
"BM+HB+MB" 3 0.16541784853503
"BM+FT+FM" 3 0.163617787292011
"BM+FT+MC" 3 0.162458535956974
"BM+FT+MB" 3 0.165287766837596
"BM+FM+MC" 3 0.1637558837851
"BM+FM+MB" 3 0.165861116591044
"BM+MC+MB" 3 0.165455827607131
"HB+FT+FM" 3 0.130832274295199
"HB+FT+MC" 3 0.137427975971558
"HB+FT+MB" 3 0.132457199873963
"HB+FM+MC" 3 0.138495751369308
"HB+FM+MB" 3 0.132835644033653
"HB+MC+MB" 3 0.140296473467571
"FT+FM+MC" 3 0.13552468969964
"FT+FM+MB" 3 0.127747670178282
"FT+MC+MB" 3 0.137304535989875
"FM+MC+MB" 3 0.137574146042135
"BM+HB+FT+FM" 4 0.163785126381922
"BM+HB+FT+MC" 4 0.162531816863743
"BM+HB+FT+MB" 4 0.165458541065337
"BM+HB+FM+MC" 4 0.163830340034426
"BM+HB+FM+MB" 4 0.166033078252283
"BM+HB+MC+MB" 4 0.165531838094144
"BM+FT+FM+MC" 4 0.163798421924213
"BM+FT+FM+MB" 4 0.165885660731022
"BM+FT+MC+MB" 4 0.165496538827466
"BM+FM+MC+MB" 4 0.166041275797373
"HB+FT+FM+MC" 4 0.138537590113285
"HB+FT+FM+MB" 4 0.132891634505196
"HB+FT+MC+MB" 4 0.140355026293091
"HB+FM+MC+MB" 4 0.140738777446084
"FT+FM+MC+MB" 4 0.137714987714988
"BM+HB+FT+FM+MC" 5 0.163872916869701
"BM+HB+FT+FM+MB" 5 0.166057673316216
"BM+HB+FT+MC+MB" 5 0.165572586733187
"BM+HB+FM+MC+MB" 5 0.166117825270853
"BM+FT+FM+MC+MB" 5 0.166065873290208
"HB+FT+FM+MC+MB" 5 0.140768232618493
"aa" 6 0.166142445450803
