"NumTraits" "Overlap"
"BM" 1 0.247810858143608
"HB" 1 0.111769352290679
"FT" 1 0.107115821347464
"FM" 1 0.101761956130888
"MC" 1 0.246086956521739
"MB" 1 0.111461205198897
"BM+HB" 2 0.2697807435653
"BM+FT" 2 0.271593090211132
"BM+FM" 2 0.254039497307002
"BM+MC" 2 0.354192740926158
"BM+MB" 2 0.284708249496982
"HB+FT" 2 0.117524916943522
"HB+FM" 2 0.113109512390088
"HB+MC" 2 0.259871441689624
"HB+MB" 2 0.116126384899467
"FT+FM" 2 0.107400379506641
"FT+MC" 2 0.268500948766603
"FT+MB" 2 0.117087298303682
"FM+MC" 2 0.248245614035088
"FM+MB" 2 0.1124354390147
"MC+MB" 2 0.265727699530516
"BM+HB+FT" 3 0.289070480081716
"BM+HB+FM" 3 0.274757281553398
"BM+HB+MC" 3 0.379356568364611
"BM+HB+MB" 3 0.28760162601626
"BM+FT+FM" 3 0.272902603664417
"BM+FT+MC" 3 0.390344827586207
"BM+FT+MB" 3 0.304628632938644
"BM+FM+MC" 3 0.356423173803526
"BM+FM+MB" 3 0.289070480081716
"BM+MC+MB" 3 0.391424619640387
"HB+FT+FM" 3 0.117867555185339
"HB+FT+MC" 3 0.277996070726916
"HB+FT+MB" 3 0.121930202498923
"HB+FM+MC" 3 0.261794634597595
"HB+FM+MB" 3 0.117184265010352
"HB+MC+MB" 3 0.267738883632923
"FT+FM+MC" 3 0.268500948766603
"FT+FM+MB" 3 0.117184265010352
"FT+MC+MB" 3 0.283283283283283
"FM+MC+MB" 3 0.267485822306238
"BM+HB+FT+FM" 4 0.290554414784394
"BM+HB+FT+MC" 4 0.409551374819103
"BM+HB+FT+MB" 4 0.307943416757345
"BM+HB+FM+MC" 4 0.38191632928475
"BM+HB+FM+MB" 4 0.292053663570691
"BM+HB+MC+MB" 4 0.395804195804196
"BM+FT+FM+MC" 4 0.390344827586207
"BM+FT+FM+MB" 4 0.305285868392665
"BM+FT+MC+MB" 4 0.421130952380952
"BM+FM+MC+MB" 4 0.393602225312935
"HB+FT+FM+MC" 4 0.277996070726916
"HB+FT+FM+MB" 4 0.122035360068995
"HB+FT+MC+MB" 4 0.285570131180626
"HB+FM+MC+MB" 4 0.269523809523809
"FT+FM+MC+MB" 4 0.283283283283283
"BM+HB+FT+FM+MC" 5 0.409551374819103
"BM+HB+FT+FM+MB" 5 0.308615049073064
"BM+HB+FT+MC+MB" 5 0.426204819277108
"BM+HB+FM+MC+MB" 5 0.39803094233474
"BM+FT+FM+MC+MB" 5 0.421130952380952
"HB+FT+FM+MC+MB" 5 0.285570131180626
"aa" 6 0.426204819277108
